district_name,top2_volume,total_category_volume,competition_score
agra,126671,305597,41.45
ahmedabad,570028,1378227,41.36
ahmednagar,105019,250225,41.97
ajmer,145379,243022,59.82
alappuzha,66355,162177,40.92
aligarh,92541,220393,41.99
alipurduar,32007,76719,41.72
allahabad,26417,43198,61.15
allahabad (prayagraj),32212,40393,79.75
alluri sitharama raju,8135,19186,42.4
alwar,94487,230123,41.06
amravati,71875,176022,40.83
amreli,36851,87056,42.33
amroha,44413,105088,42.26
anakapalli,42897,105058,40.83
anand,49836,121702,40.95
anantapur,59826,139230,42.97
annamayya,37633,92122,40.85
aravalli,20729,50402,41.13
aurangabad,25971,46946,55.32
aurangabad (mh),19839,31552,62.88
ayodhya,51366,124081,41.4
bagalkote,46050,109391,42.1
ballari,63097,153916,40.99
ballia,59805,143355,41.72
banaskantha,63903,151921,42.06
bangalore (urban),76132,131349,57.96
bankura,65208,155757,41.87
banswara,31111,75907,40.99
bapatla,35157,85325,41.2
barabanki,65257,156378,41.73
baran,27518,65662,41.91
bareilly,110358,266761,41.37
barmer,20147,49216,40.94
basti,45011,106555,42.24
beed,57262,136590,41.92
belagavi,125210,276216,45.33
belgaum,19204,35155,54.63
belgaum dist,16527,22386,73.83
bengaluru,669838,1642369,40.78
bengaluru rural,22637,55872,40.52
betul,34078,82010,41.55
bezawada,30293,38743,78.19
bhadradri kothagudem,27964,67049,41.71
bhandara,26117,63813,40.93
bharatpur,54129,129855,41.68
bharuch,40531,94137,43.06
bhavnagar,81616,192813,42.33
bhilwara,53637,127389,42.1
bhind,39755,97176,40.91
bhopal,93452,226989,41.17
bidar,38851,94775,40.99
bijnor,87075,205125,42.45
bikaner,60512,146693,41.25
birbhum,28548,69223,41.24
botad,16127,39509,40.82
budaun,33111,79693,41.55
bulandshahr,84652,205729,41.15
buldhana,24455,58470,41.82
bundi,24857,59955,41.46
burdwan west,19552,32947,59.34
calicut,19402,28540,67.98
calicut city & rural,25230,50272,50.19
central delhi,49967,122897,40.66
chamarajanagar,9612,23197,41.44
chandrapur,58361,138273,42.21
chengalpattu,73150,176020,41.56
chengalpattu urban,11449,14598,78.43
chengalpet,16355,27353,59.79
chennai,617636,1511437,40.86
chhatrapati sambhajinagar,87488,199060,43.95
chhindwara,48694,118660,41.04
chhota udaipur,19357,47128,41.07
chikkamagaluru,25520,60038,42.51
chitradurga,36699,88836,41.31
chittoor,43012,104819,41.03
chittorgarh,34000,79199,42.93
churu,49599,118657,41.8
coimbatore,273591,455366,60.08
cooch behar,52833,127746,41.36
cuddalore,68695,165945,41.4
cuddapah,5843,10103,57.83
dahod,17036,41372,41.18
dakshin dinajpur,32727,78649,41.61
dakshina kannada,61194,149216,41.01
damoh,28603,68563,41.72
dang,1810,4269,42.4
darjeeling,50854,121451,41.87
datia,17375,42574,40.81
dausa,32392,77129,42.0
davanagere,50112,116816,42.9
deoria,65494,150793,43.43
devbhumi dwarka,18917,44267,42.73
dewas,38595,92078,41.92
dhar,48929,115693,42.29
dharashiv,27770,57473,48.32
dharashiv (osmanabad),4549,8086,56.26
dharmapuri,13058,31385,41.61
dharwad,51834,121447,42.68
dharwad dist,11064,22191,49.86
dholpur,27306,65708,41.56
dhule,50584,120274,42.06
dindigul,58123,140269,41.44
dr. b.r. ambedkar konaseema,34679,83696,41.43
dungarpur,23511,58124,40.45
durgapur-asansol,17990,34132,52.71
east delhi,74872,182442,41.04
east godavari,8631,14762,58.47
eluru,50603,120248,42.08
ernakulam,123928,292951,42.3
erode,68394,164287,41.63
fatehpur,50528,118906,42.49
firozabad,64744,159120,40.69
gadag,26250,64201,40.89
gadchiroli,20060,49055,40.89
gandhinagar,38590,90919,42.44
gautam buddha nagar,53144,127904,41.55
ghaziabad,172452,407884,42.28
ghazipur,66276,161830,40.95
gir somnath,29832,71344,41.81
gonda,61142,150190,40.71
gondia,28408,68404,41.53
gorakhpur,95286,230411,41.35
guna,28678,69510,41.26
guntur,146744,253514,57.88
gwalior,69173,165787,41.72
hanumakonda,37988,92799,40.94
hanumangarh,38593,93060,41.47
haora,34454,66409,51.88
hardoi,35760,86077,41.54
hassan,40744,97167,41.93
haveri,34028,81504,41.75
hingoli,24277,57578,42.16
hooghly,297173,520698,57.07
hoshangabad,3939,7357,53.54
hoshangabad dist,5956,9193,64.79
howrah,142574,328703,43.37
hubballi-dharwad,11524,18316,62.92
hubli-dharwad,9864,19353,50.97
hyderabad,326866,812106,40.25
idukki,19704,47447,41.53
indore,251117,428571,58.59
jabalpur,165871,276673,59.95
jagtial,21121,50759,41.61
jaipur,210216,502213,41.86
jaisalmer,13611,31466,43.26
jalgaon,106950,255299,41.89
jalna,43908,105210,41.73
jalore,33218,80307,41.36
jalpaiguri,94597,229180,41.28
jamnagar,65498,152517,42.94
jangaon,11722,27430,42.73
jaunpur,84378,202588,41.65
jayashankar bhupalpally,7800,18657,41.81
jhansi,55267,135064,40.92
jhargram,22442,53524,41.93
jhunjhunu,51491,121338,42.44
jodhpur,100733,239292,42.1
jogulamba gadwal,11803,28928,40.8
junagadh,75123,178474,42.09
kadapa,39377,88574,44.46
kakinada,59733,145108,41.16
kalaburagi,64551,156754,41.18
kalimpong,5940,14092,42.15
kallakurichi,29108,68305,42.61
kamareddy,20094,47359,42.43
kancheepuram,12087,23967,50.43
kanchipuram,30978,71104,43.57
kannur,88289,214545,41.15
kanpur nagar,154496,378751,40.79
karauli,30471,73837,41.27
karimnagar,51094,85152,60.0
karur,28188,68231,41.31
kasaragod,37365,89959,41.54
katni,28599,67760,42.21
khammam,32021,76328,41.95
khandwa,28474,69324,41.07
khargone,37952,90404,41.98
kheda,51577,125138,41.22
kodagu,11621,27742,41.89
kolar,36519,89466,40.82
kolhapur,198632,338838,58.62
kolkata,389911,951583,40.97
kollam,80200,190223,42.16
koppal,31297,74034,42.27
kota,128945,224311,57.48
kottayam,48458,116345,41.65
kozhikode,108309,249953,43.33
krishna,39057,96034,40.67
krishnagiri,42457,102171,41.55
kumuram bheem asifabad,10807,25715,42.03
kurnool,61803,144993,42.62
kutch,55197,132873,41.54
lakhimpur kheri,80985,189643,42.7
latur,56488,138392,40.82
lucknow,154710,377891,40.94
madurai,108935,255820,42.58
mahabubabad,14759,35563,41.5
mahabubnagar,13772,33320,41.33
mahisagar,18827,45594,41.29
malappuram,114440,279337,40.97
malda,83688,196641,42.56
mancherial,24545,60652,40.47
mandsaur,30804,70815,43.5
mandya,38680,93505,41.37
mathura,65845,156529,42.07
medak,13582,32847,41.35
medchal-malkajgiri,102312,241885,42.3
meerut,208965,367064,56.93
mehsana,50751,120213,42.22
mirzapur,53945,127316,42.37
moradabad,121547,285345,42.6
morbi,25724,61375,41.91
morena,45668,108903,41.93
mulugu,4594,10920,42.07
mumbai city,268281,654742,40.98
mumbai suburban,723577,1770752,40.86
murshidabad,158277,377025,41.98
muzaffarnagar,109192,255802,42.69
mysuru,166732,289361,57.62
nadia,125735,298832,42.08
nagapattinam,36980,88760,41.66
nagarkurnool,17273,40291,42.87
nagaur,70247,165379,42.48
nagpur,168114,399423,42.09
nalgonda,32171,77651,41.43
namakkal,46608,113286,41.14
nanded,77359,185523,41.7
nandurbar,36280,85404,42.48
nandyal,40814,98898,41.27
narayanpet,11133,26761,41.6
narmada,11844,28162,42.06
narmadapuram,26524,59514,44.57
nashik,221533,531393,41.69
navsari,42675,99837,42.74
neemuch,20590,49529,41.57
nellore,48347,114346,42.28
new delhi,6349,15274,41.57
nilgiris,23776,56971,41.73
nirmal,15786,37309,42.31
nizamabad,39578,96092,41.19
north 24 parganas,331736,784387,42.29
north delhi,40079,95280,42.06
north east delhi,106193,254312,41.76
north west delhi,158046,368993,42.83
ntr district,19436,30067,64.64
osmanabad,10843,19991,54.24
palakkad,63129,153609,41.1
palghar,86379,214163,40.33
pali,51267,116156,44.14
palnadu,49030,117657,41.67
panchmahal,46184,111698,41.35
panna,8786,21155,41.53
parbhani,45745,110421,41.43
parvathipuram manyam,20322,46953,43.28
paschim bardhaman,104098,229732,45.31
paschim bardhaman (durgapur),19912,37708,52.81
paschim medinipur,113010,278487,40.58
patan,30627,73966,41.41
pathanamthitta,22412,53536,41.86
peddapalli,21029,49887,42.15
perambalur,11770,28003,42.03
porbandar,17694,42466,41.67
prakasam,53037,128305,41.34
pratapgarh,16058,39394,40.76
prayagraj,124679,255891,48.72
pudukkottai,36205,87531,41.36
pune,610937,1486616,41.1
purba bardhaman,135540,326937,41.46
purba medinipur,97292,234989,41.4
purulia,25520,61735,41.34
raebareli,61386,150107,40.89
raichur,44539,107998,41.24
raigad,69407,164612,42.16
rajahmundry,39232,80299,48.86
rajamahendravaram,13652,24724,55.22
rajanna sircilla,12723,29502,43.13
rajkot,151868,372206,40.8
rajsamand,24348,58753,41.44
ramanagara,23781,57914,41.06
ramanathapuram,32645,79346,41.14
rampur,54660,131737,41.49
rangareddy,77915,191366,40.72
ranipet,33216,80263,41.38
ratlam,36204,87466,41.39
ratnagiri,33403,76906,43.43
rewa,49554,119153,41.59
sabarkantha,48958,116822,41.91
sagar,61419,143939,42.67
saharanpur,87438,206625,42.32
salem,132205,322019,41.06
sambhajinagar,22057,39586,55.72
sambhal,47642,113076,42.13
sangareddy,40046,95734,41.83
sangli,64976,156366,41.55
satara,65288,154716,42.2
satna,50165,119614,41.94
sawai madhopur,30638,72968,41.99
sehore,28132,67326,41.78
seoni,28902,65720,43.98
shahdara,66103,158063,41.82
shahjahanpur,65494,156712,41.79
shivamogga,45540,107959,42.18
shivpuri,37597,88678,42.4
siddipet,19614,46723,41.98
sikar,61837,149476,41.37
sindhudurg,16606,39381,42.17
singrauli,25190,61946,40.66
sirohi,23818,56643,42.05
sitapur,91179,214942,42.42
sivaganga,37169,88145,42.17
solapur,112724,259472,43.44
south 24 parganas,190709,457366,41.7
south delhi,230204,566913,40.61
south east delhi,97931,231968,42.22
south west delhi,97482,236654,41.19
spsr nellore,11925,19956,59.76
sri ganganagar,48087,114642,41.95
sri potti sriramulu nellore,11320,21118,53.6
sri sathya sai,43834,103373,42.4
srikakulam,47016,114984,40.89
sultanpur,67929,162123,41.9
surat,473325,801649,59.04
surendranagar,44976,106065,42.4
suryapet,21212,52598,40.33
tapi,15453,37691,41.0
tenkasi,42193,99714,42.31
thane,312554,734143,42.57
thanjavur,60581,147132,41.17
theni,38220,93427,40.91
thiruvananthapuram,73557,168730,43.59
thiruvananthapuram dist,17125,28842,59.38
thoothukudi,51451,125058,41.14
thrissur,224721,385092,58.36
tiruchirappalli,100539,247280,40.66
tirunelveli,49591,119275,41.58
tirupathi,11316,15119,74.85
tirupathur,29081,71078,40.91
tirupati,57913,139801,41.43
tiruppur,84333,203309,41.48
tiruvallur,137225,329839,41.6
tiruvannamalai,55437,133313,41.58
tiruvarur,26674,65142,40.95
tonk,30810,74044,41.61
trivandrum,29314,55256,53.05
tumakuru,61344,147857,41.49
udaipur,81892,201165,40.71
udupi,30384,71684,42.39
ujjain,67815,162426,41.75
unnao,69141,160300,43.13
uttar dinajpur,58077,139394,41.66
uttara kannada,38362,88619,43.29
vadodara,156527,380617,41.12
valsad,48049,114038,42.13
varanasi,212323,372834,56.95
vellore,47026,112060,41.97
vidisha,31596,76570,41.26
vijayapura,49853,119647,41.67
vijayawada,97257,180245,53.96
vijayawada urban,13157,26627,49.41
vikarabad,17887,43314,41.3
villupuram,44244,105405,41.98
virudhunagar,60557,145884,41.51
visakhapatnam,79065,166205,47.57
visakhapatnam dist,16677,27436,60.79
vishakhapatnam,18117,26970,67.17
vizag,16886,26473,63.79
vizag urban,17698,31633,55.95
vizianagaram,45676,109307,41.79
wanaparthy,13010,30194,43.09
warangal,24474,58511,41.83
wardha,33579,81141,41.38
washim,25402,61785,41.11
wayanad,6421,15313,41.93
west delhi,115004,270287,42.55
west godavari,42147,101285,41.61
y.s.r.,8387,14537,57.69
yadadri bhuvanagiri,16769,38549,43.5
yadgir,11739,27695,42.39
yavatmal,62043,150366,41.26
ysr kadapa,11625,16402,70.88
