district_name,category_velocity,months,avg_monthly_velocity,engagement_clicks,event_count,demand_signal_score
kota,975415,24,40642.291666666664,4504219,1962,58.34
coimbatore,796932,24,33205.5,9005005,2345,57.52
murshidabad,80233,24,3343.0416666666665,27004914,2367,54.11
meerut,724285,24,30178.541666666668,9004711,2340,53.8
indore,881464,24,36727.666666666664,4504685,2304,53.52
hooghly,680647,24,28360.291666666668,9005118,2345,51.56
guntur,644627,24,26859.458333333332,9004676,2136,49.71
kolhapur,643468,24,26811.166666666668,9004726,2336,49.65
chhatrapati sambhajinagar,116983,24,4874.291666666667,22503220,1508,47.66
solapur,74746,24,3114.4166666666665,22503784,1843,45.49
thrissur,715517,24,29813.208333333332,4505006,2277,45.02
varanasi,538962,24,22456.75,9004260,2361,44.3
surat,839606,24,34983.583333333336,4570,2344,43.05
sikar,859,24,35.791666666666664,22504391,2050,41.7
mysuru,643418,24,26809.083333333332,4504585,2315,41.32
vijayawada,449522,24,18730.083333333332,9003014,1485,39.71
thane,118431,24,4934.625,18004828,2315,39.4
south west delhi,104164,24,4340.166666666667,18002221,1052,38.67
purba medinipur,75201,24,3133.375,18004338,2053,37.18
ajmer,700864,24,29202.666666666668,4584,2153,35.93
rajkot,211868,24,8827.833333333334,13504778,2341,35.86
ahmedabad,208605,24,8691.875,13504564,2340,35.69
jabalpur,680307,24,28346.125,4334,2148,34.88
south delhi,182444,24,7601.833333333333,13504790,2348,34.35
pune,171043,24,7126.791666666667,13505391,2361,33.77
chengalpattu,1310,24,54.583333333333336,18002923,1485,33.39
bijnor,84532,24,3522.1666666666665,13503525,1806,29.33
krishnagiri,84450,24,3518.75,13501985,944,29.32
saharanpur,82033,24,3418.0416666666665,13503218,1757,29.2
kalaburagi,79878,24,3328.25,13502694,1314,29.09
nadia,78600,24,3275.0,13504195,2168,29.03
banaskantha,75539,24,3147.4583333333335,13503845,1609,28.87
cooch behar,74945,24,3122.7083333333335,13502878,1489,28.84
jalpaiguri,73885,24,3078.5416666666665,13503651,1713,28.78
central delhi,229178,24,9549.083333333334,9002471,1099,28.41
mumbai city,221632,24,9234.666666666666,9004718,2350,28.03
salem,184311,24,7679.625,9005256,2309,26.12
alwar,183917,24,7663.208333333333,9005212,2351,26.1
udaipur,176168,24,7340.333333333333,9004343,2328,25.7
vikarabad,2336,24,97.33333333333333,13500841,478,25.11
rangareddy,839,24,34.958333333333336,13504521,2003,25.04
anand,879,24,36.625,13503605,1810,25.04
vadodara,157747,24,6572.791666666667,9004767,2355,24.75
ujjain,150560,24,6273.333333333333,9004579,2211,24.38
nagpur,117318,24,4888.25,9003566,1886,22.68
thanjavur,107335,24,4472.291666666667,9002508,1274,22.16
jaipur,101751,24,4239.625,9004593,2288,21.88
tiruvallur,101299,24,4220.791666666667,9003094,1748,21.86
kannur,101336,24,4222.333333333333,9002780,1350,21.86
latur,100344,24,4181.0,9002889,1428,21.81
north 24 parganas,97120,24,4046.6666666666665,9005017,2346,21.65
agra,94093,24,3920.5416666666665,9004250,1879,21.49
paschim medinipur,88816,24,3700.6666666666665,9004384,2270,21.22
bareilly,85619,24,3567.4583333333335,9004195,1878,21.05
sagar,84316,24,3513.1666666666665,9002716,1219,20.98
mehsana,83045,24,3460.2083333333335,9002129,1096,20.92
firozabad,82647,24,3443.625,9002807,1266,20.9
thoothukudi,82738,24,3447.4166666666665,9002231,1029,20.9
raebareli,81414,24,3392.25,9003722,1783,20.84
bulandshahr,80877,24,3369.875,9003778,1732,20.81
alappuzha,80531,24,3355.4583333333335,9002200,1255,20.79
satara,79377,24,3307.375,9003192,1508,20.73
palakkad,76364,24,3181.8333333333335,9002853,1356,20.58
gorakhpur,75770,24,3157.0833333333335,9003777,1932,20.55
kheda,75012,24,3125.5,9001819,1075,20.51
hanumakonda,74266,24,3094.4166666666665,9000865,434,20.47
malappuram,73200,24,3050.0,9003659,1756,20.42
sultanpur,72654,24,3027.25,9003892,1833,20.39
jhunjhunu,70182,24,2924.25,9002570,1336,20.26
sivaganga,69932,24,2913.8333333333335,9001613,736,20.25
bharatpur,69139,24,2880.7916666666665,9002860,1359,20.21
churu,68689,24,2862.0416666666665,9001568,816,20.18
warangal,65511,24,2729.625,9001746,1025,20.02
chhindwara,63077,24,2628.2083333333335,9001918,1005,19.89
sri ganganagar,60678,24,2528.25,9002269,1057,19.77
khargone,59167,24,2465.2916666666665,9001848,913,19.69
chandrapur,57083,24,2378.4583333333335,9002027,985,19.59
chennai,215899,24,8995.791666666666,4504801,2343,19.4
rajahmundry,53120,24,2213.3333333333335,9001354,668,19.38
nagapattinam,50213,24,2092.2083333333335,9001796,834,19.23
theni,48269,24,2011.2083333333333,9001262,635,19.13
guna,45531,24,1897.125,9002218,1029,19.0
shivpuri,35032,24,1459.6666666666667,9002518,1159,18.46
kolkata,177241,24,7385.041666666667,4504809,2334,17.42
rajsamand,3147,24,131.125,9001422,532,16.82
tiruchirappalli,164684,24,6861.833333333333,4505023,2321,16.78
idukki,1822,24,75.91666666666667,9001307,560,16.75
gandhinagar,1357,24,56.541666666666664,9002439,1214,16.73
dakshina kannada,865,24,36.041666666666664,9004168,1779,16.71
karimnagar,314742,24,13114.25,2328,1110,16.13
paschim bardhaman,145681,24,6070.041666666667,4503443,1557,15.8
east delhi,138268,24,5761.166666666667,4502326,1038,15.42
north east delhi,126976,24,5290.666666666667,4502400,1218,14.84
medchal-malkajgiri,116375,24,4848.958333333333,4502306,1160,14.3
lucknow,110334,24,4597.25,4504726,2197,13.99
north west delhi,105087,24,4378.625,4503382,1679,13.72
cuddalore,102345,24,4264.375,4502697,1235,13.58
jamnagar,99027,24,4126.125,4502275,1063,13.41
