District_ID,district_name,state,Outlets_Stocking_Kestrel,Outlets_Stocking_Category,Estimated_Total_Universe,distribution_gap,distribution_gap_score,panel_coverage_pct
dst_0301,ujjain,Madhya Pradesh,3290,49225,2674.0,0.9331640426612493,93.32,76.7
dst_0040,dharwad,Karnataka,3747,54936,2951.0,0.9317933595456531,93.18,77.57
dst_0007,nashik,Maharashtra,10812,157930,8562.0,0.9315392895586653,93.15,76.86
dst_0039,belgaum dist,Karnataka,7014,102056,5496.0,0.9312730265736459,93.13,77.37
dst_0271,visakhapatnam,Andhra Pradesh,5729,82791,4606.0,0.9308016571849598,93.08,74.89
dst_0153,vadodara,Gujarat,8026,115852,6248.0,0.9307219555985222,93.07,77.26
dst_0246,alwar,Rajasthan,4973,70602,3865.0,0.929562901900796,92.96,76.11
dst_0211,warangal,Telangana,1227,17255,946.0,0.9288901767603593,92.89,76.0
dst_0329,kozhikode,Kerala,6902,96951,5363.0,0.9288093985621603,92.88,75.32
dst_0008,aurangabad,Maharashtra,6938,95479,5241.0,0.9273348066066884,92.73,75.91
dst_0154,rajkot,Gujarat,8332,114616,6132.0,0.9273050882948279,92.73,77.88
dst_0192,paschim bardhaman,West Bengal,7617,101673,5533.0,0.9250833554631023,92.51,76.57
dst_0068,tiruchirappalli,Tamil Nadu,5562,74084,4045.0,0.9249230603099184,92.49,76.31
dst_0069,salem,Tamil Nadu,7616,98601,5271.0,0.9227594040628391,92.28,77.94
dst_0244,udaipur,Rajasthan,7869,60492,3313.0,0.8699166831977783,86.99,76.08
dst_0085,perambalur,Tamil Nadu,1115,3631,586.0,0.6929220600385568,69.29,25.82
dst_0038,mysuru,Karnataka,28006,88651,4123.0,0.6840870379352743,68.41,89.59
dst_0152,surat,Gujarat,79899,250626,11676.0,0.6812022695171291,68.12,89.44
dst_0066,coimbatore,Tamil Nadu,45748,142532,6445.0,0.6790334802009373,67.9,92.15
dst_0009,kolhapur,Maharashtra,34459,106689,4837.0,0.6770145000890438,67.7,91.9
dst_0176,narmada,Gujarat,1113,3429,554.0,0.6754155730533684,67.54,25.79
dst_0299,jabalpur,Madhya Pradesh,28253,86918,3970.0,0.6749465013000759,67.49,91.22
dst_0297,indore,Madhya Pradesh,42780,128992,6016.0,0.6683515256760109,66.84,89.34
dst_0272,vijayawada urban,Andhra Pradesh,28560,86083,3948.0,0.6682271760974874,66.82,90.85
dst_0241,kota,Rajasthan,22834,68771,3199.0,0.6679705108257841,66.8,89.57
dst_0188,hooghly,West Bengal,54531,162361,7428.0,0.6641373236183566,66.41,91.07
dst_0330,thrissur,Kerala,39103,116030,5424.0,0.6629923295699388,66.3,89.13
dst_0116,meerut,Uttar Pradesh,38244,112747,5213.0,0.6607980700151668,66.08,90.12
dst_0113,varanasi,Uttar Pradesh,38049,111845,5154.0,0.6598059814922437,65.98,90.42
dst_0213,karimnagar,Telangana,9099,26631,1241.0,0.6583305170665765,65.83,89.41
dst_0243,ajmer,Rajasthan,25868,75396,3512.0,0.6569048755902169,65.69,89.45
dst_0273,guntur,Andhra Pradesh,26613,77453,3575.0,0.656398073670484,65.64,90.27
dst_0338,pathanamthitta,Kerala,2047,5893,1142.0,0.6526387239097233,65.26,21.5
dst_0228,wanaparthy,Telangana,1222,3488,591.0,0.6496559633027523,64.97,24.59
dst_0029,washim,Maharashtra,2295,6414,1259.0,0.6421889616463985,64.22,21.23
dst_0233,jangaon,Telangana,984,2747,556.0,0.6417910447761195,64.18,20.59
dst_0099,kallakurichi,Tamil Nadu,2482,6850,1345.0,0.6376642335766423,63.77,21.22
dst_0270,pratapgarh,Rajasthan,1472,4023,791.0,0.6341039025602784,63.41,21.19
dst_0237,kumuram bheem asifabad,Telangana,977,2666,535.0,0.6335333833458365,63.35,20.76
dst_0266,karauli,Rajasthan,2902,7895,1472.0,0.6324255858138061,63.24,22.35
dst_0234,mulugu,Telangana,383,1038,220.0,0.6310211946050097,63.1,19.66
dst_0219,siddipet,Telangana,1901,5151,1008.0,0.6309454474859251,63.09,21.29
dst_0019,sindhudurg,Maharashtra,1576,4246,834.0,0.628827131417805,62.88,21.21
