District_Code,District_Name,State_Union_Territory,Total_Population,Urban_Population_Share_Pct,Rural_Population_Share_Pct,Median_Income_Band,Estimated_Total_Retail_Universe,Census_Demographic_Notes,District_Ref_ID_normalized,Mean_Panel_Coverage_Pct,Coverage_Status
DST_0001,Mumbai Suburban,Maharashtra,9356962,100,0,High,18500,,DST_0001,85.03791666666667,RELIABLE
DST_0002,Mumbai City,Maharashtra,3085411,100,0,High,6787,,DST_0002,82.07041666666667,RELIABLE
DST_0003,Pune,Maharashtra,9429408,61,39,High,15596,,DST_0003,83.36916666666667,RELIABLE
DST_0004,Thane,Maharashtra,8070032,77,23,High,15155,Boundary advisory: Split in 2025-04,DST_0004,41.78333333333333,UNKNOWN
DST_0005,Palghar,Maharashtra,2990116,48,52,Medium,4401,,DST_0005,15.612499999999999,UNKNOWN
DST_0006,Nagpur,Maharashtra,4653570,68,32,High,8153,,DST_0006,55.08083333333334,UNKNOWN
DST_0007,Nashik,Maharashtra,6107187,43,57,Medium-High,8562,,DST_0007,72.07000000000001,RELIABLE
DST_0008,Aurangabad,Maharashtra,3701282,44,56,Medium,5241,Official census spelling variant,DST_0008,57.3225,UNKNOWN
DST_0009,Kolhapur,Maharashtra,3876001,32,68,Medium-High,4837,,DST_0009,68.17625,RELIABLE
DST_0010,Solapur,Maharashtra,4317756,32,68,Medium,5388,,DST_0010,36.1,UNKNOWN
DST_0011,Ahmednagar,Maharashtra,4543159,20,80,Medium,4906,,DST_0011,41.156666666666666,UNKNOWN
DST_0012,Satara,Maharashtra,3003741,19,81,Medium,3201,,DST_0012,51.38125,UNKNOWN
DST_0013,Sangli,Maharashtra,2822143,25,75,Medium,3245,,DST_0013,35.20583333333334,UNKNOWN
DST_0014,Jalgaon,Maharashtra,4229917,32,68,Medium,5278,,DST_0014,40.94833333333333,UNKNOWN
DST_0015,Amravati,Maharashtra,2888445,36,64,Medium,3766,,DST_0015,54.203333333333326,UNKNOWN
DST_0016,Nanded,Maharashtra,3361292,27,73,Low-Medium,3959,,DST_0016,50.695,UNKNOWN
DST_0017,Raigad,Maharashtra,2634200,37,63,Medium-High,3471,,DST_0017,41.13791666666666,UNKNOWN
DST_0018,Ratnagiri,Maharashtra,1615069,16,84,Medium,1653,,DST_0018,52.2175,UNKNOWN
DST_0019,Sindhudurg,Maharashtra,849651,13,87,Medium,834,,DST_0019,25.39833333333333,UNKNOWN
DST_0020,Chandrapur,Maharashtra,2204307,35,65,Medium,2843,,DST_0020,34.93625,UNKNOWN
DST_0021,Yavatmal,Maharashtra,2772348,22,78,Low-Medium,3071,,DST_0021,59.010416666666664,UNKNOWN
DST_0022,Buldhana,Maharashtra,2586258,21,79,Low-Medium,2829,,DST_0022,57.312083333333334,UNKNOWN
DST_0023,Latur,Maharashtra,2455543,25,75,Medium,2823,,DST_0023,45.26166666666666,UNKNOWN
DST_0024,Dhule,Maharashtra,2050862,28,72,Medium,2444,,DST_0024,40.07791666666667,UNKNOWN
DST_0025,Jalna,Maharashtra,1959046,19,81,Low-Medium,2088,,DST_0025,63.903333333333336,RELIABLE
DST_0026,Wardha,Maharashtra,1300774,33,67,Medium,1641,,DST_0026,44.91166666666667,UNKNOWN
DST_0027,Bhandara,Maharashtra,1200334,19,81,Low-Medium,1279,,DST_0027,15.742916666666666,UNKNOWN
DST_0028,Gondia,Maharashtra,1322507,17,83,Low-Medium,1372,,DST_0028,15.417499999999999,UNKNOWN
DST_0029,Washim,Maharashtra,1197160,18,82,Low-Medium,1259,,DST_0029,26.614166666666666,UNKNOWN
DST_0030,Hingoli,Maharashtra,1177345,15,85,Low,1189,,DST_0030,22.2625,UNKNOWN
DST_0031,Gadchiroli,Maharashtra,1072942,11,89,Low,1023,,DST_0031,25.375,UNKNOWN
DST_0032,Nandurbar,Maharashtra,1648295,17,83,Low,1710,,DST_0032,56.965833333333336,UNKNOWN
DST_0033,Beed,Maharashtra,2585049,20,80,Low-Medium,2791,,DST_0033,51.11083333333334,UNKNOWN
DST_0034,Osmanabad,Maharashtra,1657576,17,83,Low-Medium,1720,Official census spelling variant,DST_0034,65.05791666666666,RELIABLE
DST_0035,Parbhani,Maharashtra,1836086,31,69,Low-Medium,2265,,DST_0035,46.354166666666664,UNKNOWN
DST_0036,Bangalore,Karnataka,9621551,91,9,High,18500,Official census spelling variant,DST_0036,85.4975,RELIABLE
DST_0037,Bengaluru Rural,Karnataka,990923,27,73,Medium-High,1167,,DST_0037,59.397083333333335,UNKNOWN
DST_0038,Mysuru,Karnataka,3001127,41,59,Medium-High,4123,,DST_0038,72.08708333333333,RELIABLE
DST_0039,Belagavi,Karnataka,4779661,25,75,Medium-High,5496,,DST_0039,72.03666666666668,RELIABLE
DST_0040,Dharwad,Karnataka,1847023,57,43,Medium-High,2951,,DST_0040,66.22875,RELIABLE
DST_0041,Dakshina Kannada,Karnataka,2089649,48,52,High,3075,,DST_0041,15.219583333333333,UNKNOWN
DST_0042,Udupi,Karnataka,1177361,28,72,Medium-High,1403,,DST_0042,36.59916666666667,UNKNOWN
DST_0043,Shivamogga,Karnataka,1752759,36,64,Medium,2285,,DST_0043,42.64875,UNKNOWN
DST_0044,Tumakuru,Karnataka,2678980,22,78,Medium,2968,,DST_0044,43.73791666666667,UNKNOWN
DST_0045,Ballari,Karnataka,2452595,37,63,Medium,3232,,DST_0045,38.05958333333333,UNKNOWN
DST_0046,Kalaburagi,Karnataka,2566326,33,67,Low-Medium,3238,,DST_0046,41.54,UNKNOWN
DST_0047,Davanagere,Karnataka,1945497,32,68,Medium,2427,,DST_0047,37.842083333333335,UNKNOWN
DST_0048,Hassan,Karnataka,1776421,21,79,Medium,1943,,DST_0048,43.35874999999999,UNKNOWN
DST_0049,Mandya,Karnataka,1805769,17,83,Medium,1874,,DST_0049,53.89125000000001,UNKNOWN
DST_0050,Vijayapura,Karnataka,2177331,23,77,Low-Medium,2442,,DST_0050,46.1,UNKNOWN
DST_0051,Bagalkote,Karnataka,1889552,32,68,Low-Medium,2358,,DST_0051,46.38458333333333,UNKNOWN
