WCI_Rank,district_id,Demand_Signal,Mean_Distribution_Gap,Valid_Audit_Cycles,Mean_Panel_Coverage_Pct_x,Coverage_Status_x,Total_Population,Estimated_Total_Retail_Universe,District_Code_x,Mean_Panel_Coverage_Pct_y,Coverage_Status_y,District_Code_y,Mean_Panel_Coverage_Pct,Coverage_Status,Market_Opportunity,Competitive_Intensity,WCI,WCI_Priority,Recommended_Target,District_Name,State_Union_Territory
1,DST_0040,0.9352941176470588,0.9316018119557624,24,66.22875,RELIABLE,1847023,2951,DST_0040,66.22875,RELIABLE,DST_0040,66.22875,RELIABLE,HIGH_OPPORTUNITY,0.3538417164739132,0.8761746438309107,VERY_HIGH,RECOMMENDED,Dharwad,Karnataka
2,DST_0192,0.9446078431372549,0.9246012898315672,24,60.54291666666666,RELIABLE,2882031,5533,DST_0192,60.54291666666666,RELIABLE,DST_0192,60.54291666666666,RELIABLE,HIGH_OPPORTUNITY,0.3771504271953997,0.8732538954137332,VERY_HIGH,RECOMMENDED,Paschim Bardhaman,West Bengal
3,DST_0211,0.919607843137255,0.92840945492283,24,60.32666666666666,RELIABLE,718338,946,DST_0211,60.32666666666666,RELIABLE,DST_0211,60.32666666666666,RELIABLE,HIGH_OPPORTUNITY,0.33469995934766483,0.8718268467652223,VERY_HIGH,RECOMMENDED,Warangal,Telangana
4,DST_0301,0.9083333333333332,0.9331183626593318,24,73.36708333333333,RELIABLE,1986864,2674,DST_0301,73.36708333333333,RELIABLE,DST_0301,73.36708333333333,RELIABLE,HIGH_OPPORTUNITY,0.3540945601393777,0.8645225149028906,VERY_HIGH,RECOMMENDED,Ujjain,Madhya Pradesh
5,DST_0271,0.9142156862745098,0.930130816549594,24,70.21541666666667,RELIABLE,2315000,4606,DST_0271,70.21541666666667,RELIABLE,DST_0271,70.21541666666667,RELIABLE,HIGH_OPPORTUNITY,0.37337336966308365,0.8622681706832704,VERY_HIGH,RECOMMENDED,Vizag,Andhra Pradesh
6,DST_0068,0.8999999999999999,0.9239549030731222,24,55.51,UNKNOWN,2722290,4045,DST_0068,55.51,UNKNOWN,DST_0068,55.51,UNKNOWN,HIGH_OPPORTUNITY,0.37156632675498535,0.8540709507245956,VERY_HIGH,NOT_RECOMMENDED,Tiruchirappalli,Tamil Nadu
7,DST_0069,0.8887254901960784,0.9222669176529403,24,62.02708333333334,RELIABLE,3482056,5271,DST_0069,62.02708333333334,RELIABLE,DST_0069,62.02708333333334,RELIABLE,HIGH_OPPORTUNITY,0.379218004634219,0.8468762908399206,HIGH,RECOMMENDED,Salem,Tamil Nadu
8,DST_0008,0.8735294117647059,0.9265534524573217,24,57.3225,UNKNOWN,3701282,5241,DST_0008,57.3225,UNKNOWN,DST_0008,57.3225,UNKNOWN,HIGH_OPPORTUNITY,0.3659614514020981,0.8441896533737605,HIGH,NOT_RECOMMENDED,Aurangabad,Maharashtra
9,DST_0244,0.8612745098039215,0.9279735350898389,23,73.79916666666666,RELIABLE,3068420,3313,DST_0244,73.79916666666666,RELIABLE,DST_0244,73.79916666666666,RELIABLE,HIGH_OPPORTUNITY,0.3582557924612966,0.840713108200949,HIGH,RECOMMENDED,Udaipur,Rajasthan
10,DST_0329,0.865686274509804,0.928676161200475,24,71.46458333333334,RELIABLE,3086293,5363,DST_0329,71.46458333333334,RELIABLE,DST_0329,71.46458333333334,RELIABLE,HIGH_OPPORTUNITY,0.38318001228599724,0.8379594774923785,HIGH,RECOMMENDED,Kozhikode,Kerala
