district_id,Demand_Signal,Mean_Distribution_Gap,Valid_Audit_Cycles,Competitive_Intensity,Mean_Panel_Coverage_Pct_x,Coverage_Status_x,Total_Population,Estimated_Total_Retail_Universe,District_Code_x,Mean_Panel_Coverage_Pct_y,Coverage_Status_y,District_Code_y,Mean_Panel_Coverage_Pct,Coverage_Status,Market_Opportunity
DST_0001,0.4950980392156863,0.3651084395292642,23,0.6403514318104626,85.03791666666667,RELIABLE,9356962,18500,DST_0001,85.03791666666667,RELIABLE,DST_0001,85.03791666666667,RELIABLE,OTHER
DST_0002,0.9264705882352942,0.3784997734846147,24,0.5631466559311816,82.07041666666667,RELIABLE,3085411,6787,DST_0002,82.07041666666667,RELIABLE,DST_0002,82.07041666666667,RELIABLE,OTHER
DST_0003,0.6338235294117647,0.36911897154047413,24,0.7544317246396937,83.36916666666667,RELIABLE,9429408,15596,DST_0003,83.36916666666667,RELIABLE,DST_0003,83.36916666666667,RELIABLE,OTHER
DST_0004,0.4534313725490196,0.4380375202462465,24,0.7187189311089655,41.78333333333333,UNKNOWN,8070032,15155,DST_0004,41.78333333333333,UNKNOWN,DST_0004,41.78333333333333,UNKNOWN,OTHER
DST_0005,0.4980392156862745,0.5767653509441684,24,0.6143910742876361,15.612499999999999,UNKNOWN,2990116,4401,DST_0005,15.612499999999999,UNKNOWN,DST_0005,15.612499999999999,UNKNOWN,OTHER
DST_0006,0.5137254901960784,0.4654636559996163,24,0.6629995101517954,55.08083333333334,UNKNOWN,4653570,8153,DST_0006,55.08083333333334,UNKNOWN,DST_0006,55.08083333333334,UNKNOWN,OTHER
DST_0007,0.5151960784313725,0.9309446701428855,24,0.6308694185862924,72.07000000000001,RELIABLE,6107187,8562,DST_0007,72.07000000000001,RELIABLE,DST_0007,72.07000000000001,RELIABLE,OTHER
DST_0008,0.8735294117647059,0.9265534524573217,24,0.6420123876369015,57.3225,UNKNOWN,3701282,5241,DST_0008,57.3225,UNKNOWN,DST_0008,57.3225,UNKNOWN,HIGH_OPPORTUNITY
DST_0009,0.8117647058823529,0.6726206181500823,23,0.8044147090572951,68.17625,RELIABLE,3876001,4837,DST_0009,68.17625,RELIABLE,DST_0009,68.17625,RELIABLE,HIGH_OPPORTUNITY
DST_0010,0.28431372549019607,0.45291181441987044,24,0.6274636373785208,36.1,UNKNOWN,4317756,5388,DST_0010,36.1,UNKNOWN,DST_0010,36.1,UNKNOWN,OTHER
DST_0011,0.32745098039215687,0.5002028262447588,24,0.6362287484509692,41.156666666666666,UNKNOWN,4543159,4906,DST_0011,41.156666666666666,UNKNOWN,DST_0011,41.156666666666666,UNKNOWN,OTHER
DST_0012,0.48137254901960785,0.44276287947116894,24,0.6128765980130308,51.38125,UNKNOWN,3003741,3201,DST_0012,51.38125,UNKNOWN,DST_0012,51.38125,UNKNOWN,OTHER
DST_0013,0.4073529411764706,0.4411206673906123,24,0.6213983037363334,35.20583333333334,UNKNOWN,2822143,3245,DST_0013,35.20583333333334,UNKNOWN,DST_0013,35.20583333333334,UNKNOWN,OTHER
