district_id,Category_Velocity,Estimated_Total_Retail_Universe,Velocity_per_Retail_Outlet,Category_Velocity_Score,district_id_normalized,Audience_Signal,Demand_Signal,District_ID,Mean_Distribution_Gap,Valid_Audit_Cycles
DST_0001,10574067.481186667,18500,571.5712151992793,0.9411764705882353,DST_0001,0.049019607843137254,0.4950980392156863,DST_0001,0.3651084395292642,23
DST_0002,4038331.216666667,6787,595.0097563970336,0.9441176470588235,DST_0002,0.9088235294117647,0.9264705882352942,DST_0002,0.3784997734846147,24
DST_0003,8839758.900649166,15596,566.7965440272612,0.9352941176470588,DST_0003,0.3323529411764706,0.6338235294117647,DST_0003,0.36911897154047413,24
DST_0004,5113577.29688,15155,337.41849534015176,0.8470588235294118,DST_0004,0.059803921568627454,0.4534313725490196,DST_0004,0.4380375202462465,24
DST_0005,198780.62593916667,4401,45.167149724873134,0.15,DST_0005,0.846078431372549,0.4980392156862745,DST_0005,0.5767653509441684,24
DST_0006,3042545.350275833,8153,373.1810806176663,0.8705882352941177,DST_0006,0.1568627450980392,0.5137254901960784,DST_0006,0.4654636559996163,24
DST_0007,3002475.258741667,8562,350.6745221609048,0.8558823529411764,DST_0007,0.17450980392156865,0.5151960784313725,DST_0007,0.9309446701428855,24
DST_0008,2564127.9631783334,5241,489.2440303717484,0.9176470588235294,DST_0008,0.8294117647058824,0.8735294117647059,DST_0008,0.9265534524573217,24
DST_0009,8706946.727852082,4837,1800.0716824172177,0.9735294117647059,DST_0009,0.6499999999999999,0.8117647058823529,DST_0009,0.6726206181500823,23
DST_0010,1021970.4315866666,5388,189.6752842588468,0.3264705882352941,DST_0010,0.24215686274509807,0.28431372549019607,DST_0010,0.45291181441987044,24
DST_0011,1028051.7614229167,4906,209.54989022073312,0.5176470588235295,DST_0011,0.1372549019607843,0.32745098039215687,DST_0011,0.5002028262447588,24
DST_0012,648579.8153983334,3201,202.61787422628348,0.4647058823529412,DST_0012,0.4980392156862745,0.48137254901960785,DST_0012,0.44276287947116894,24
DST_0013,649817.3692333334,3245,200.25188574216745,0.4323529411764706,DST_0013,0.38235294117647056,0.4073529411764706,DST_0013,0.4411206673906123,24
DST_0014,913082.5299483334,5278,172.997826818555,0.2411764705882353,DST_0014,0.14411764705882354,0.19264705882352942,DST_0014,0.4673855569214833,24
DST_0015,1014477.307535,3766,269.3779361484334,0.7794117647058824,DST_0015,0.5137254901960785,0.6465686274509804,DST_0015,0.4016479636668921,24
DST_0016,1081227.4945820833,3959,273.1062123218195,0.8058823529411765,DST_0016,0.4941176470588235,0.65,DST_0016,0.39038459513118057,24
DST_0017,693108.5717166667,3471,199.68555797080572,0.4235294117647059,DST_0017,0.4803921568627451,0.4519607843137255,DST_0017,0.4974374392415141,23
DST_0018,369061.19940000004,1653,223.26751324863886,0.6029411764705882,DST_0018,0.6127450980392157,0.607843137254902,DST_0018,0.43721024320573826,24
DST_0019,28673.66025,834,34.38088758992806,0.05,DST_0019,0.5352941176470588,0.2926470588235294,DST_0019,0.6180032746035794,24
DST_0020,544976.8248920833,2843,191.69075796415171,0.3382352941176471,DST_0020,0.12058823529411765,0.22941176470588237,DST_0020,0.45711099245302417,24
DST_0021,737811.7391691668,3071,240.2512989805167,0.6676470588235294,DST_0021,0.20294117647058826,0.43529411764705883,DST_0021,0.4367529265099605,24
DST_0022,86387.62183291667,2829,30.536451690673974,0.03823529411764706,DST_0022,0.020588235294117647,0.029411764705882353,DST_0022,0.12209195329807561,15
DST_0023,728545.0776716666,2823,258.0747706948872,0.7558823529411764,DST_0023,0.7892156862745098,0.7725490196078431,DST_0023,0.4780439339752829,24
DST_0024,434768.51562666666,2444,177.89219133660666,0.26176470588235295,DST_0024,0.6127450980392157,0.4372549019607843,DST_0024,0.4098674345114026,24
DST_0025,492422.34015583334,2088,235.83445409762135,0.6588235294117647,DST_0025,0.6950980392156864,0.6769607843137255,DST_0025,0.4298822714651423,24
DST_0026,362933.16134000005,1641,221.16585090798296,0.5911764705882353,DST_0026,0.5372549019607843,0.5642156862745098,DST_0026,0.3893272916111205,24
DST_0027,49698.699265,1279,38.85746619624707,0.09705882352941177,DST_0027,0.6176470588235294,0.3573529411764706,DST_0027,0.5975647448269529,24
DST_0028,56181.45756625,1372,40.94858423196064,0.1264705882352941,DST_0028,0.43333333333333335,0.27990196078431373,DST_0028,0.6050888719577036,24
