District_ID,district_name,state,Outlets_Stocking_Kestrel,Outlets_Stocking_Category,Estimated_Total_Universe,distribution_gap,distribution_gap_score,panel_coverage_pct
dst_0085,perambalur,Tamil Nadu,1115,3631,586.0,0.6929220600385568,69.29,25.82
dst_0176,narmada,Gujarat,1113,3429,554.0,0.6754155730533684,67.54,25.79
dst_0338,pathanamthitta,Kerala,2047,5893,1142.0,0.6526387239097233,65.26,21.5
dst_0228,wanaparthy,Telangana,1222,3488,591.0,0.6496559633027523,64.97,24.59
dst_0029,washim,Maharashtra,2295,6414,1259.0,0.6421889616463985,64.22,21.23
dst_0233,jangaon,Telangana,984,2747,556.0,0.6417910447761195,64.18,20.59
dst_0099,kallakurichi,Tamil Nadu,2482,6850,1345.0,0.6376642335766423,63.77,21.22
dst_0270,pratapgarh,Rajasthan,1472,4023,791.0,0.6341039025602784,63.41,21.19
dst_0237,kumuram bheem asifabad,Telangana,977,2666,535.0,0.6335333833458365,63.35,20.76
dst_0266,karauli,Rajasthan,2902,7895,1472.0,0.6324255858138061,63.24,22.35
dst_0234,mulugu,Telangana,383,1038,220.0,0.6310211946050097,63.1,19.66
dst_0219,siddipet,Telangana,1901,5151,1008.0,0.6309454474859251,63.09,21.29
dst_0019,sindhudurg,Maharashtra,1576,4246,834.0,0.628827131417805,62.88,21.21
dst_0227,nagarkurnool,Telangana,1582,4227,839.0,0.6257392950082801,62.57,20.99
dst_0030,hingoli,Maharashtra,2146,5732,1189.0,0.6256106071179344,62.56,20.09
dst_0339,idukki,Kerala,1782,4754,964.0,0.6251577618847286,62.52,20.55
dst_0055,kodagu,Karnataka,1149,3046,560.0,0.6227839789888379,62.28,22.66
dst_0307,singrauli,Madhya Pradesh,2451,6498,1256.0,0.6228070175438596,62.28,21.56
dst_0229,jogulamba gadwal,Telangana,1104,2923,573.0,0.6223058501539513,62.23,21.26
dst_0236,mahabubabad,Telangana,1414,3743,728.0,0.6222281592305637,62.22,21.42
dst_0028,gondia,Maharashtra,2648,6980,1372.0,0.6206303724928367,62.06,21.2
dst_0175,chhota udaipur,Gujarat,1858,4878,962.0,0.6191061910619107,61.91,21.13
dst_0322,sehore,Madhya Pradesh,2569,6727,1397.0,0.6181061394380853,61.81,20.06
dst_0172,mahisagar,Gujarat,1795,4682,934.0,0.6166168304143529,61.66,20.89
dst_0324,seoni,Madhya Pradesh,2504,6483,1334.0,0.613759062162579,61.38,20.25
dst_0261,dungarpur,Rajasthan,2417,6257,1227.0,0.6137126418411379,61.37,21.25
dst_0218,suryapet,Telangana,2108,5448,1110.0,0.6130690161527166,61.31,20.45
dst_0206,jhargram,West Bengal,1980,5117,1052.0,0.6130545241352354,61.31,20.27
dst_0031,gadchiroli,Maharashtra,2099,5404,1023.0,0.6115840118430792,61.16,22.01
dst_0027,bhandara,Maharashtra,2559,6530,1279.0,0.6081163859111791,60.81,21.27
dst_0295,parvathipuram manyam,Andhra Pradesh,1767,4468,921.0,0.6045210384959714,60.45,20.22
dst_0199,alipurduar,West Bengal,3125,7888,1568.0,0.6038286004056795,60.38,20.96
dst_0232,jayashankar bhupalpally,Telangana,726,1830,380.0,0.6032786885245902,60.33,20.07
dst_0260,rajsamand,Rajasthan,2368,5937,1184.0,0.6011453596092302,60.11,20.89
dst_0057,koppal,Karnataka,2720,6810,1442.0,0.6005873715124816,60.06,19.68
dst_0238,narayanpet,Telangana,1077,2692,548.0,0.599925705794948,59.99,20.47
dst_0221,kamareddy,Telangana,1821,4550,955.0,0.5997802197802198,59.98,19.85
dst_0226,vikarabad,Telangana,1825,4441,910.0,0.5890565188020715,58.91,20.33
dst_0235,yadadri bhuvanagiri,Telangana,1563,3759,767.0,0.584197924980048,58.42,20.42
dst_0177,tapi,Gujarat,1545,3714,758.0,0.5840064620355412,58.4,20.42
dst_0170,aravalli,Gujarat,1987,4727,1006.0,0.5796488258938015,57.96,19.58
dst_0268,jaisalmer,Rajasthan,1462,3300,657.0,0.5569696969696969,55.7,20.93
dst_0011,ahmednagar,Maharashtra,34084,69178,4906.0,0.5073000086732776,50.73,58.75
dst_0334,alappuzha,Kerala,23355,47383,3310.0,0.5071017031424773,50.71,59.65
dst_0047,davanagere,Karnataka,17069,34363,2427.0,0.5032738701510345,50.33,58.99
dst_0060,uttara kannada,Karnataka,12213,24449,1733.0,0.5004703668861712,50.05,58.78
dst_0182,botad,Gujarat,5947,11837,823.0,0.4975922953451043,49.76,59.93
dst_0281,rajamahendravaram,Andhra Pradesh,17613,34964,2440.0,0.49625328909735733,49.63,59.71
dst_0289,bapatla,Andhra Pradesh,12248,24152,1735.0,0.49287843656840014,49.29,58.0
dst_0315,vidisha,Madhya Pradesh,11632,22913,1636.0,0.4923405926766464,49.23,58.36
dst_0308,katni,Madhya Pradesh,10051,19745,1413.0,0.49095973664218795,49.1,58.22
dst_0121,moradabad,Uttar Pradesh,43688,85628,6022.0,0.489793058345401,48.98,59.25
dst_0145,gonda,Uttar Pradesh,22501,44061,3083.0,0.4893216222963619,48.93,59.55
dst_0064,haveri,Karnataka,12711,24818,1747.0,0.48783141268434205,48.78,59.19
dst_0326,dhar,Madhya Pradesh,16862,32818,2330.0,0.48619659942714366,48.62,58.69
dst_0073,vellore,Tamil Nadu,16742,32553,2263.0,0.4857002426811661,48.57,59.94
dst_0223,nirmal,Telangana,5623,10893,776.0,0.4837969338107041,48.38,58.49
dst_0215,khammam,Telangana,11572,22401,1572.0,0.4834159189321905,48.34,59.37
dst_0053,chitradurga,Karnataka,13268,25646,1792.0,0.48264836621695395,48.26,59.63
dst_0309,khandwa,Madhya Pradesh,10403,20097,1414.0,0.4823605513260686,48.24,59.22
dst_0196,jalpaiguri,West Bengal,33992,65607,4562.0,0.48188455500175287,48.19,59.92
dst_0147,ballia,Uttar Pradesh,22143,42738,3000.0,0.4818896532359961,48.19,59.36
dst_0088,ranipet,Tamil Nadu,12529,24138,1679.0,0.4809429115916811,48.09,59.9
dst_0162,bharuch,Gujarat,13827,26547,1979.0,0.4791501864617471,47.92,55.89
dst_0101,east delhi,Delhi NCR,27329,52463,3760.0,0.4790804948249242,47.91,58.14
dst_0314,shivpuri,Madhya Pradesh,13388,25704,1791.0,0.4791472144413321,47.91,59.8
dst_0107,south east delhi,Delhi NCR,34635,66432,4730.0,0.4786398121387283,47.86,58.52
dst_0283,srikakulam,Andhra Pradesh,16725,32066,2304.0,0.4784195097611177,47.84,57.99
dst_0135,amroha,Uttar Pradesh,15178,29058,2116.0,0.4776653589372978,47.77,57.22
dst_0252,hanumangarh,Rajasthan,14107,26993,1916.0,0.47738302522876297,47.74,58.7
dst_0067,madurai,Tamil Nadu,37539,71689,5025.0,0.4763631798462805,47.64,59.44
dst_0006,nagpur,Maharashtra,61029,116510,8153.0,0.47619088490258343,47.62,59.54
dst_0117,ghaziabad,Uttar Pradesh,60919,116272,8136.0,0.47606474473648,47.61,59.55
dst_0312,chhindwara,Madhya Pradesh,17710,33715,2375.0,0.47471451876019577,47.47,59.15
dst_0096,tiruvarur,Tamil Nadu,9852,18755,1365.0,0.47470007997867236,47.47,57.25
dst_0148,lakhimpur kheri,Uttar Pradesh,28548,54243,3836.0,0.4737016757922681,47.37,58.92
dst_0287,krishna,Andhra Pradesh,15301,29070,2019.0,0.4736498108015136,47.36,59.99
dst_0014,jalgaon,Maharashtra,39825,75640,5278.0,0.4734928609201481,47.35,59.71
dst_0078,cuddalore,Tamil Nadu,25077,47603,3325.0,0.47320547024347204,47.32,59.65
dst_0081,krishnagiri,Tamil Nadu,15880,30110,2109.0,0.47260046496180674,47.26,59.49
dst_0165,mehsana,Gujarat,17771,33653,2340.0,0.4719341514872374,47.19,59.92
