WCI_Rank,district_id,Demand_Signal,Mean_Distribution_Gap,Valid_Audit_Cycles,Mean_Panel_Coverage_Pct_x,Coverage_Status_x,Total_Population,Estimated_Total_Retail_Universe,District_Code_x,Mean_Panel_Coverage_Pct_y,Coverage_Status_y,District_Code_y,Mean_Panel_Coverage_Pct,Coverage_Status,Market_Opportunity,Competitive_Intensity,WCI,WCI_Priority,Recommended_Target,District_Name,State_Union_Territory
6,DST_0068,0.8999999999999999,0.9239549030731222,24,55.51,UNKNOWN,2722290,4045,DST_0068,55.51,UNKNOWN,DST_0068,55.51,UNKNOWN,HIGH_OPPORTUNITY,0.37156632675498535,0.8540709507245956,VERY_HIGH,NOT_RECOMMENDED,Tiruchirappalli,Tamil Nadu
8,DST_0008,0.8735294117647059,0.9265534524573217,24,57.3225,UNKNOWN,3701282,5241,DST_0008,57.3225,UNKNOWN,DST_0008,57.3225,UNKNOWN,HIGH_OPPORTUNITY,0.3659614514020981,0.8441896533737605,HIGH,NOT_RECOMMENDED,Aurangabad,Maharashtra
27,DST_0313,0.8848039215686274,0.464044310413648,23,41.915416666666665,UNKNOWN,1241519,1427,DST_0313,41.915416666666665,UNKNOWN,DST_0313,41.915416666666665,UNKNOWN,OTHER,0.2430611598435152,0.711965041381956,HIGH,NOT_RECOMMENDED,Guna,Madhya Pradesh
30,DST_0049,0.7833333333333333,0.4926735194028707,23,53.89125000000001,UNKNOWN,1805769,1874,DST_0049,53.89125000000001,UNKNOWN,DST_0049,53.89125000000001,UNKNOWN,OTHER,0.2511594970282823,0.6747038323853483,MEDIUM,NOT_RECOMMENDED,Mandya,Karnataka
32,DST_0089,0.8205882352941176,0.4338641397867417,24,38.288333333333334,UNKNOWN,1339101,1652,DST_0089,38.288333333333334,UNKNOWN,DST_0089,38.288333333333334,UNKNOWN,OTHER,0.26092948673466115,0.6689312574607802,MEDIUM,NOT_RECOMMENDED,Sivaganga,Tamil Nadu
33,DST_0254,0.7916666666666667,0.45262085918350026,23,48.637499999999996,UNKNOWN,1421411,1574,DST_0254,48.637499999999996,UNKNOWN,DST_0254,48.637499999999996,UNKNOWN,OTHER,0.24143586968669978,0.6663801267768852,MEDIUM,NOT_RECOMMENDED,Tonk,Rajasthan
34,DST_0052,0.7519607843137255,0.5011293259127266,23,41.077083333333334,UNKNOWN,1700018,1955,DST_0052,41.077083333333334,UNKNOWN,DST_0052,41.077083333333334,UNKNOWN,OTHER,0.25079714034102657,0.6636181889424254,MEDIUM,NOT_RECOMMENDED,Bidar,Karnataka
35,DST_0023,0.7725490196078431,0.4780439339752829,24,45.26166666666666,UNKNOWN,2455543,2823,DST_0023,45.26166666666666,UNKNOWN,DST_0023,45.26166666666666,UNKNOWN,OTHER,0.25685037192176974,0.6635923613305243,MEDIUM,NOT_RECOMMENDED,Latur,Maharashtra
36,DST_0104,0.7916666666666667,0.4556257581061678,24,51.305,UNKNOWN,2241624,4931,DST_0104,51.305,UNKNOWN,DST_0104,51.305,UNKNOWN,OTHER,0.2757205540903148,0.6605749045190958,MEDIUM,NOT_RECOMMENDED,North East Delhi,Delhi NCR
37,DST_0043,0.7872549019607843,0.42448188739868625,24,42.64875,UNKNOWN,1752759,2285,DST_0043,42.64875,UNKNOWN,DST_0043,42.64875,UNKNOWN,OTHER,0.2448536483834982,0.6538626367951935,MEDIUM,NOT_RECOMMENDED,Shivamogga,Karnataka
38,DST_0101,0.7382352941176471,0.47028805959389913,24,34.72375,UNKNOWN,1709346,3760,DST_0101,34.72375,UNKNOWN,DST_0101,34.72375,UNKNOWN,OTHER,0.25872268480691624,0.6450621662494227,MEDIUM,NOT_RECOMMENDED,East Delhi,Delhi NCR
39,DST_0103,0.7063725490196079,0.5026812743819253,24,55.397083333333335,UNKNOWN,887978,1953,DST_0103,55.397083333333335,UNKNOWN,DST_0103,55.397083333333335,UNKNOWN,OTHER,0.2520208667164903,0.6434019197491994,MEDIUM,NOT_RECOMMENDED,North Delhi,Delhi NCR
40,DST_0181,0.7338235294117647,0.4549437250638273,24,56.80375,UNKNOWN,1756268,2093,DST_0181,56.80375,UNKNOWN,DST_0181,56.80375,UNKNOWN,OTHER,0.2574552200770037,0.6379598479922329,MEDIUM,NOT_RECOMMENDED,Surendranagar,Gujarat
42,DST_0098,0.7534313725490196,0.4219297567828578,23,51.212916666666665,UNKNOWN,1942288,2940,DST_0098,51.212916666666665,UNKNOWN,DST_0098,51.212916666666665,UNKNOWN,OTHER,0.26154528378023545,0.634410475765012,MEDIUM,NOT_RECOMMENDED,Virudhunagar,Tamil Nadu
43,DST_0248,0.7362745098039216,0.44104519355641775,24,47.245000000000005,UNKNOWN,2548462,2716,DST_0248,47.245000000000005,UNKNOWN,DST_0248,47.245000000000005,UNKNOWN,OTHER,0.2582703099068875,0.6340352851751334,MEDIUM,NOT_RECOMMENDED,Bharatpur,Rajasthan
45,DST_0081,0.7058823529411764,0.4631549695569712,24,50.907916666666665,UNKNOWN,1879809,2109,DST_0081,50.907916666666665,UNKNOWN,DST_0081,50.907916666666665,UNKNOWN,OTHER,0.24767527261603078,0.6302162436452632,MEDIUM,NOT_RECOMMENDED,Krishnagiri,Tamil Nadu
46,DST_0288,0.6911764705882353,0.47582843526913426,24,38.168749999999996,UNKNOWN,2041000,2347,DST_0288,38.168749999999996,UNKNOWN,DST_0288,38.168749999999996,UNKNOWN,OTHER,0.24966934081333497,0.6276354959462359,MEDIUM,NOT_RECOMMENDED,Palnadu,Andhra Pradesh
47,DST_0264,0.7127450980392157,0.4412309926337253,24,40.33541666666667,UNKNOWN,1036346,1119,DST_0264,40.33541666666667,UNKNOWN,DST_0264,40.33541666666667,UNKNOWN,OTHER,0.24417074210742937,0.6263319931179651,MEDIUM,NOT_RECOMMENDED,Sirohi,Rajasthan
48,DST_0067,0.6980392156862745,0.4682479599860447,24,41.96375,UNKNOWN,3038252,5025,DST_0067,41.96375,UNKNOWN,DST_0067,41.96375,UNKNOWN,OTHER,0.27573738951095705,0.6228569551517478,MEDIUM,NOT_RECOMMENDED,Madurai,Tamil Nadu
49,DST_0045,0.7078431372549019,0.441337725013903,24,38.05958333333333,UNKNOWN,2452595,3232,DST_0045,38.05958333333333,UNKNOWN,DST_0045,38.05958333333333,UNKNOWN,OTHER,0.254102479171156,0.6221771196853407,MEDIUM,NOT_RECOMMENDED,Ballari,Karnataka
50,DST_0332,0.6642156862745098,0.5008171739129385,24,42.624583333333334,UNKNOWN,2523003,4314,DST_0332,42.624583333333334,UNKNOWN,DST_0332,42.624583333333334,UNKNOWN,OTHER,0.2647642084694496,0.6212302279991679,MEDIUM,NOT_RECOMMENDED,Kannur,Kerala
51,DST_0102,0.6813725490196079,0.4545387198979515,24,56.385,UNKNOWN,142004,312,DST_0102,56.385,UNKNOWN,DST_0102,56.385,UNKNOWN,OTHER,0.2296084440625656,0.6197845102105934,MEDIUM,NOT_RECOMMENDED,New Delhi,Delhi NCR
55,DST_0169,0.6725490196078432,0.45766529938480344,24,41.871249999999996,UNKNOWN,2428697,2452,DST_0169,41.871249999999996,UNKNOWN,DST_0169,41.871249999999996,UNKNOWN,OTHER,0.2513845927974362,0.6125529950487234,MEDIUM,NOT_RECOMMENDED,Sabarkantha,Gujarat
56,DST_0305,0.6838235294117647,0.43865383440366884,24,39.40083333333333,UNKNOWN,1455069,1775,DST_0305,39.40083333333333,UNKNOWN,DST_0305,39.40083333333333,UNKNOWN,OTHER,0.24735367740966646,0.6117786947946449,MEDIUM,NOT_RECOMMENDED,Ratlam,Madhya Pradesh
57,DST_0323,0.6735294117647059,0.4512770438522027,24,59.54208333333333,UNKNOWN,1575362,1701,DST_0323,59.54208333333333,UNKNOWN,DST_0323,59.54208333333333,UNKNOWN,OTHER,0.25600519979382497,0.6098341606836236,MEDIUM,NOT_RECOMMENDED,Betul,Madhya Pradesh
58,DST_0303,0.5740196078431373,0.5747195890950766,24,16.449166666666667,UNKNOWN,1563715,1885,DST_0303,16.449166666666667,UNKNOWN,DST_0303,16.449166666666667,UNKNOWN,OTHER,0.24817783516490466,0.6098251126797076,MEDIUM,NOT_RECOMMENDED,Dewas,Madhya Pradesh
59,DST_0077,0.5588235294117647,0.5823028248800382,24,16.336666666666666,UNKNOWN,2556244,4478,DST_0077,16.336666666666666,UNKNOWN,DST_0077,16.336666666666666,UNKNOWN,OTHER,0.25597148839068695,0.6040822792651701,MEDIUM,NOT_RECOMMENDED,Chengalpattu,Tamil Nadu
64,DST_0041,0.5544117647058823,0.5846307838839787,24,15.219583333333333,UNKNOWN,2089649,3075,DST_0041,15.219583333333333,UNKNOWN,DST_0041,15.219583333333333,UNKNOWN,OTHER,0.2616301928439942,0.6017800299082408,MEDIUM,NOT_RECOMMENDED,Dakshina Kannada,Karnataka
