audit_date,month_id,district_id,district_name,state,competitor_brand,numeric_distribution_pct,weighted_distribution_pct,stocking_outlet_count,exclusive_branded_chillers_deployed,promotional_intensity_score_1_to_10,active_retail_scheme
2026-07-15T00:00:00+05:30,2026-07,DST_0043,Shivamogga,Karnataka,Torque,47.71,54.0,1090,104,4.69,None
2025/03/15,2025-03,DST_0292,Sri Sathya Sai,Andhra Pradesh,BullForce,38.6,58.47,786,78,4.31,None
2025-09-09T00:00:00+05:30,2025-09,DST_0024,Dhule,Maharashtra,Torque,45.81,49.59,1119,77,4.01,Seasonal_Discount
2026/05/18,2026-05,DST_0092,Thoothukudi,Tamil Nadu,PulseDrop,38.34,58.43,1006,156,2.53,None
1784448540000,2026-07,DST_0038,Mysuru,Karnataka,Apex Energy,92.73,96.35,3823,2302,9.71,Active_BOGO_Scheme
2025/10/15,2025-10,DST_0145,Gonda,Uttar Pradesh,Apex Energy,30.97,60.32,954,103,3.4,None
2025/09/18,2025-09,0128,Firozabad,Uttar Pradesh,Torque,45.26,55.56,1442,107,4.1,None
2026/08/08,2026-08,DST_0320,Hoshangabad,Madhya Pradesh,Voltix,30.71,61.1,470,64,5.27,None
17-10-2024,2024-10,DST_0130,Shahjahanpur,Uttar Pradesh,Voltix,39.67,61.02,1288,130,4.74,Seasonal_Discount
1770114780000,2026-02,DST_0154,Rajkot,Gujarat,Voltix,55.21,58.34,3385,565,5.05,Special_Kirana_Margin
08-15-25,2025-08,DST_0212,Hanumakonda,Telangana,Torque,40.57,48.92,774,58,5.37,None
07-09-2024,2024-09,DST_0198,Kalimpong,West Bengal,Torque,43.56,40.4,130,14,3.86,None
09-04-24,2024-09,DST_0309,Khandwa,Madhya Pradesh,Apex Energy,25.39,57.89,359,48,3.32,None
2025-01-21T00:00:00Z,2025-01,0257,Bundi,Rajasthan,Apex Energy,29.17,48.9,349,24,2.56,Seasonal_Discount
06-10-26,2026-06,DST_0140,Unnao,Uttar Pradesh,Torque,47.59,58.21,1535,107,4.77,Seasonal_Discount
