district_id,numeric_id,district_name,state,population,urban_share,true_archetype,is_historical_marketing_failure_district,total_retail_universe,panel_sampled_outlets,true_panel_coverage_pct,analytical_ground_truth_description,optimal_strategic_action
DST_0001,1,Mumbai Suburban,Maharashtra,9356962,1.0,CORE_METRO,False,18500,17,85.5,"CORE METRO: High volume anchor market, high category and steady Kestrel share.",MAINTAIN_MATURE_PRESENCE
DST_0002,2,Mumbai City,Maharashtra,3085411,1.0,CORE_METRO,False,6787,17,81.2,"CORE METRO: High volume anchor market, high category and steady Kestrel share.",MAINTAIN_MATURE_PRESENCE
DST_0003,3,Pune,Maharashtra,9429408,0.61,CORE_METRO,False,15596,17,82.9,"CORE METRO: High volume anchor market, high category and steady Kestrel share.",MAINTAIN_MATURE_PRESENCE
DST_0004,4,Thane,Maharashtra,8070032,0.77,MATURE_URBAN,False,15155,17,41.7,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0005,5,Palghar,Maharashtra,2990116,0.48,TYPE_C,False,4401,1,15.4,"PANEL BLINDNESS (MEASUREMENT ILLUSION): Healthy true sales, but panel coverage <20%. Not a whitespace, already active.",FIX_PANEL_MEASUREMENT_DO_NOT_MISCLASSIFY
DST_0006,6,Nagpur,Maharashtra,4653570,0.68,MATURE_URBAN,False,8153,17,55.3,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0007,7,Nashik,Maharashtra,6107187,0.43,TYPE_A,False,8562,17,72.8,"REAL WHITESPACE (WINNER): High category velocity, strong audience buzz, low Kestrel distribution (2-8%). Prime expansion target.",EXPAND_DISTRIBUTION_IMMEDIATELY
DST_0008,8,Chhatrapati Sambhajinagar,Maharashtra,3701282,0.44,TYPE_A,False,5241,17,56.7,"REAL WHITESPACE (WINNER): High category velocity, strong audience buzz, low Kestrel distribution (2-8%). Prime expansion target.",EXPAND_DISTRIBUTION_IMMEDIATELY
DST_0009,9,Kolhapur,Maharashtra,3876001,0.32,TYPE_D,False,4837,17,68.4,"COMPETITIVE LOCKOUT (HARD MOAT): Strong category demand, reasonable Kestrel dist, but 2 rivals hold >85% share with exclusive chillers.",HIGH_COST_BARRIER_ACQUIRE_CHILLER_CONTRACTS
DST_0010,10,Solapur,Maharashtra,4317756,0.32,DEVELOPING_URBAN,False,5388,17,35.9,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0011,11,Ahmednagar,Maharashtra,4543159,0.2,DEVELOPING_URBAN,False,4906,17,41.6,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0012,12,Satara,Maharashtra,3003741,0.19,DEVELOPING_URBAN,False,3201,17,50.2,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0013,13,Sangli,Maharashtra,2822143,0.25,DEVELOPING_URBAN,False,3245,15,35.8,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0014,14,Jalgaon,Maharashtra,4229917,0.32,DEVELOPING_URBAN,False,5278,17,41.0,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0015,15,Amravati,Maharashtra,2888445,0.36,DEVELOPING_URBAN,False,3766,17,54.5,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0016,16,Nanded,Maharashtra,3361292,0.27,DEVELOPING_URBAN,False,3959,17,51.3,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0017,17,Raigad,Maharashtra,2634200,0.37,DEVELOPING_URBAN,False,3471,17,41.6,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0018,18,Ratnagiri,Maharashtra,1615069,0.16,DEVELOPING_URBAN,False,1653,11,52.7,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0019,19,Sindhudurg,Maharashtra,849651,0.13,RURAL_LOW_DEMAND,False,834,3,25.3,"RURAL LOW DEMAND: Low population, low income, low category consumption.",SELECTIVE_HIGHWAY_OUTLETS_ONLY
DST_0020,20,Chandrapur,Maharashtra,2204307,0.35,DEVELOPING_URBAN,False,2843,13,35.2,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0021,21,Yavatmal,Maharashtra,2772348,0.22,DEVELOPING_URBAN,False,3071,17,59.2,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0022,22,Buldhana,Maharashtra,2586258,0.21,TYPE_B,False,2829,17,57.5,"DISTRIBUTION FAILURE (TRAP): High Kestrel listing, but zero category demand. Marketing will NOT fix this.",AVOID_DO_NOT_INVEST_MARKETING
DST_0023,23,Latur,Maharashtra,2455543,0.25,DEVELOPING_URBAN,False,2823,16,45.2,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0024,24,Dhule,Maharashtra,2050862,0.28,DEVELOPING_URBAN,False,2444,12,39.7,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0025,25,Jalna,Maharashtra,1959046,0.19,DEVELOPING_URBAN,False,2088,17,63.7,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0026,26,Wardha,Maharashtra,1300774,0.33,DEVELOPING_URBAN,False,1641,9,45.1,DEVELOPING URBAN / TIER 2-3: Standard competitive balance and organic growth.,MAINTAIN_ORGANIC_GROWTH
DST_0027,27,Bhandara,Maharashtra,1200334,0.19,RURAL_LOW_DEMAND,False,1279,2,15.3,"RURAL LOW DEMAND: Low population, low income, low category consumption.",SELECTIVE_HIGHWAY_OUTLETS_ONLY
DST_0028,28,Gondia,Maharashtra,1322507,0.17,RURAL_LOW_DEMAND,False,1372,3,15.4,"RURAL LOW DEMAND: Low population, low income, low category consumption.",SELECTIVE_HIGHWAY_OUTLETS_ONLY
DST_0029,29,Washim,Maharashtra,1197160,0.18,RURAL_LOW_DEMAND,False,1259,4,25.9,"RURAL LOW DEMAND: Low population, low income, low category consumption.",SELECTIVE_HIGHWAY_OUTLETS_ONLY
DST_0030,30,Hingoli,Maharashtra,1177345,0.15,RURAL_LOW_DEMAND,False,1189,3,22.5,"RURAL LOW DEMAND: Low population, low income, low category consumption.",SELECTIVE_HIGHWAY_OUTLETS_ONLY
