District_Code,District_Name,State_Union_Territory,Total_Population,Urban_Population_Share_Pct,Rural_Population_Share_Pct,Median_Income_Band,Estimated_Total_Retail_Universe,Census_Demographic_Notes,District_Num_ID,District_Name_Clean,Mean_Panel_Coverage_Pct,Total_Category_Units,Avg_Units_Per_Audit,Audit_Count,Total_Audience_Events,Total_Engagement_Clicks,Campus_Registrations,Search_Queries,Audience_Events_Per_100k,Campus_Registrations_Per_100k,Search_Queries_Per_100k,demand_signal,Avg_Kestrel_Stocking,Avg_Category_Stocking,Universe,Avg_Category_Stocking_Clean,Avg_Kestrel_Stocking_Clean,distribution_gap,competitive_intensity,WCI,Classification,Estimated_Annual_Category_Cans,Annual_Opportunity_INR,Annual_Opportunity_Cr
DST_0040,Dharwad,Karnataka,1847023,57,43,Medium-High,2951,0,40,Dharwad,66.22875,172928,33.48073572120039,5165,1896,1896,319,329,102.65167244804206,17.271035607028175,17.812447381543162,0.9716,156.125,2289.0,2951.0,2289.0,156.125,0.9318,0.6017,0.843,Likely Expansion Opportunity,919648.8487899323,20394905.375798523,2.04
DST_0271,Vizag,Andhra Pradesh,2315000,85,15,High,4606,Official census spelling variant,271,Visakhapatnam,70.21541666666667,152720,28.907817527919743,5283,2117,2117,353,354,91.44708423326135,15.248380129589634,15.291576673866091,0.9512,238.70833333333334,3449.625,4606.0,3449.625,238.70833333333334,0.9308,0.6005,0.8337,Likely Expansion Opportunity,1196653.5604770018,26509514.191389445,2.65
DST_0192,Paschim Bardhaman,West Bengal,2882031,80,20,High,5533,0,192,Paschim Bardhaman,60.54291666666666,189396,36.04796345641416,5254,2162,2162,408,352,75.01654215377975,14.156683255662413,12.213609083316593,0.951,317.375,4236.375,5533.0,4236.375,317.375,0.9251,0.5937,0.833,Likely Expansion Opportunity,1832552.2942519984,40348000.23241807,4.03
DST_0211,Warangal,Telangana,718338,37,63,Medium-High,946,0,211,Warangal,60.32666666666666,55148,25.60259981429898,2154,958,958,178,164,133.36340274355527,24.7794213865896,22.830478131464577,0.9547,51.125,718.9583333333334,946.0,718.9583333333334,51.125,0.9289,0.609,0.8329,Likely Expansion Opportunity,220886.42989786447,4883317.4326246055,0.49
DST_0301,Ujjain,Madhya Pradesh,1986864,39,61,Medium-High,2674,0,301,Ujjain,73.36708333333333,133685,25.333522834944098,5277,2028,2028,333,330,102.0703983765371,16.76008020679825,16.609088493223492,0.9491,137.08333333333334,2051.0416666666665,2674.0,2051.0416666666665,137.08333333333334,0.9332,0.6247,0.8288,Likely Expansion Opportunity,623521.3307750616,13848508.519927043,1.38
DST_0329,Kozhikode,Kerala,3086293,67,33,High,5363,0,329,Kozhikode,71.46458333333334,156718,29.47489185630995,5317,2178,2178,358,375,70.57009817279176,11.59967637550939,12.150498996692797,0.9232,287.5833333333333,4039.625,5363.0,4039.625,287.5833333333333,0.9288,0.5857,0.8234,Likely Expansion Opportunity,1428810.1201805528,31584476.383044,3.16
DST_0069,Salem,Tamil Nadu,3482056,51,49,Medium-High,5271,0,69,Salem,62.02708333333334,161085,30.393396226415096,5300,2117,2117,390,348,60.797413941648266,11.200279375173748,9.99409544246273,0.9097,317.3333333333333,4108.375,5271.0,4108.375,317.3333333333333,0.9228,0.5881,0.8147,Likely Expansion Opportunity,1498409.6306603774,32909031.290726837,3.29
DST_0154,Rajkot,Gujarat,3804556,58,42,High,6132,0,154,Rajkot,65.09083333333334,175720,33.02386769404247,5321,2168,2168,356,370,56.98431038996403,9.35720225960664,9.725182123748473,0.9016,347.1666666666667,4775.666666666667,6132.0,4775.666666666667,347.1666666666667,0.9273,0.5903,0.8122,Likely Expansion Opportunity,1892531.8098101863,41767684.98424026,4.18
DST_0246,Alwar,Rajasthan,3674179,18,82,Medium-High,3865,0,246,Alwar,69.42958333333333,162183,30.992356201031914,5233,2171,2171,380,395,59.088030278328844,10.342446571057097,10.750701040967247,0.9094,207.20833333333334,2941.75,3865.0,2941.75,207.20833333333334,0.9296,0.6197,0.8106,Likely Expansion Opportunity,1094061.1662526275,24205534.391532935,2.42
DST_0244,Udaipur,Rajasthan,3068420,20,80,Medium-High,3313,0,244,Udaipur,73.79916666666666,150689,28.512582781456953,5285,2176,2176,382,352,70.91597630050644,12.449403927754348,11.471702048611338,0.9215,327.875,2520.5,3313.0,2520.5,327.875,0.8699,0.597,0.7997,Likely Expansion Opportunity,862391.578807947,17854627.53883979,1.79
DST_0153,Vadodara,Gujarat,4165626,50,50,High,6248,0,153,Vadodara,65.11916666666667,146815,28.00209803547587,5243,2185,2185,366,349,52.45310068642744,8.786194439923314,8.378092512385892,0.8416,334.4166666666667,4827.166666666667,6248.0,4827.166666666667,334.4166666666667,0.9307,0.6341,0.7776,Likely Expansion Opportunity,1622049.5308029754,35929467.65997624,3.59
DST_0039,Belagavi,Karnataka,4779661,25,75,Medium-High,5496,0,39,Belagavi,72.03666666666668,127413,24.01300414624953,5306,2163,2163,371,367,45.254255479625016,7.762056765113677,7.678368821554499,0.6696,292.25,4252.333333333333,5496.0,4252.333333333333,292.25,0.9313,0.6083,0.7056,Likely Expansion Opportunity,1225335.5755748209,27159489.512481377,2.72
