District_Code,District_Name,State_Union_Territory,Total_Population,Urban_Population_Share_Pct,Rural_Population_Share_Pct,Median_Income_Band,Estimated_Total_Retail_Universe,Census_Demographic_Notes,District_Num_ID,District_Name_Clean,Mean_Panel_Coverage_Pct,Total_Category_Units,Avg_Units_Per_Audit,Audit_Count,Total_Audience_Events,Total_Engagement_Clicks,Campus_Registrations,Search_Queries,Audience_Events_Per_100k,Campus_Registrations_Per_100k,Search_Queries_Per_100k,demand_signal,Avg_Kestrel_Stocking,Avg_Category_Stocking,Universe,Avg_Category_Stocking_Clean,Avg_Kestrel_Stocking_Clean,distribution_gap,competitive_intensity,WCI,Classification
DST_0004,Thane,Maharashtra,8070032,77,23,High,15155,Boundary advisory: Split in 2025-04,4,Thane,41.78333333333333,99351,16.954095563139933,5860,2136,2136,384,353,26.468296532157492,4.7583454439833694,4.374208181578462,0.41,4750.291666666667,8603.208333333334,15155.0,8603.208333333334,4750.291666666667,0.4478,0.5802,0.4252,UNKNOWN (Panel Blindness / Low Sampling)
DST_0005,Palghar,Maharashtra,2990116,48,52,Medium,4401,0,5,Palghar,15.612499999999999,866,2.740506329113924,316,2002,2002,313,345,66.95392419558304,10.467821315293452,11.538013909828248,0.555,1377.8333333333333,3269.3333333333335,4401.0,3269.3333333333335,1377.8333333333333,0.5786,0.5508,0.5421,UNKNOWN (Panel Blindness / Low Sampling)
DST_0006,Nagpur,Maharashtra,4653570,68,32,High,8153,0,6,Nagpur,55.08083333333334,98729,16.759293838058056,5891,1755,1755,280,316,37.712981646348936,6.016885960671055,6.790485584185904,0.4551,2542.875,4854.583333333333,8153.0,4854.583333333333,2542.875,0.4762,0.5839,0.4547,UNKNOWN (Panel Blindness / Low Sampling)
DST_0008,Aurangabad,Maharashtra,3701282,44,56,Medium,5241,Official census spelling variant,8,Chhatrapati Sambhajinagar,57.3225,153961,28.90743522343222,5326,2162,2162,380,342,58.41219339677442,10.266712992957576,9.240041693661817,0.895,289.0833333333333,3978.2916666666665,5241.0,3978.2916666666665,289.0833333333333,0.9273,0.6029,0.8067,UNKNOWN (Panel Blindness / Low Sampling)
DST_0010,Solapur,Maharashtra,4317756,32,68,Medium,5388,0,10,Solapur,36.1,73340,12.577602469559253,5831,1699,1699,301,283,39.34914339763525,6.971213750846505,6.554330536510169,0.2766,1719.5,3199.0,5388.0,3199.0,1719.5,0.4625,0.5704,0.3723,UNKNOWN (Panel Blindness / Low Sampling)
DST_0011,Ahmednagar,Maharashtra,4543159,20,80,Medium,4906,0,11,Ahmednagar,41.156666666666666,81591,14.106327800829876,5784,1846,1846,302,326,40.63252023536926,6.64735704825651,7.175623833548419,0.3856,1420.1666666666667,2882.4166666666665,4906.0,2882.4166666666665,1420.1666666666667,0.5073,0.5377,0.4435,UNKNOWN (Panel Blindness / Low Sampling)
DST_0012,Satara,Maharashtra,3003741,19,81,Medium,3201,0,12,Satara,51.38125,74884,12.746212765957447,5875,1391,1391,229,243,46.308919444119844,7.623826421785367,8.089911879885783,0.4653,1032.0416666666667,1895.125,3201.0,1895.125,1032.0416666666667,0.4554,0.5595,0.4569,UNKNOWN (Panel Blindness / Low Sampling)
DST_0013,Sangli,Maharashtra,2822143,25,75,Medium,3245,0,13,Sangli,35.20583333333334,68997,13.335330498647082,5174,1175,1175,197,186,41.63502699898623,6.980510909617266,6.590736188775693,0.3465,1035.375,1876.7083333333333,3245.0,1876.7083333333333,1035.375,0.4483,0.5446,0.4039,UNKNOWN (Panel Blindness / Low Sampling)
DST_0014,Jalgaon,Maharashtra,4229917,32,68,Medium,5278,0,14,Jalgaon,40.94833333333333,67453,11.577926536216959,5826,1719,1719,277,292,40.63909528248427,6.548591851802294,6.903208739084006,0.2237,1659.375,3151.6666666666665,5278.0,3151.6666666666665,1659.375,0.4735,0.5621,0.354,UNKNOWN (Panel Blindness / Low Sampling)
DST_0015,Amravati,Maharashtra,2888445,36,64,Medium,3766,0,15,Amravati,54.203333333333326,85785,14.412802419354838,5952,1333,1333,218,246,46.149398724919465,7.547313519904308,8.516693238057155,0.5779,1287.2916666666667,2184.125,3766.0,2184.125,1287.2916666666667,0.4106,0.596,0.4846,UNKNOWN (Panel Blindness / Low Sampling)
DST_0016,Nanded,Maharashtra,3361292,27,73,Low-Medium,3959,0,16,Nanded,50.695,94406,16.096504688832056,5865,1443,1443,247,227,42.929920994665146,7.348364854942682,6.753355554947324,0.5328,1333.375,2243.1666666666665,3959.0,2243.1666666666665,1333.375,0.4056,0.5683,0.4681,UNKNOWN (Panel Blindness / Low Sampling)
DST_0017,Raigad,Maharashtra,2634200,37,63,Medium-High,3471,0,17,Raigad,41.13791666666666,77845,13.416925198207515,5802,1200,1200,199,183,45.554627590919445,7.554475742160808,6.947080707615216,0.4562,1027.8333333333333,2182.2083333333335,3471.0,2182.2083333333335,1027.8333333333333,0.529,0.5811,0.4742,UNKNOWN (Panel Blindness / Low Sampling)
